Player,Squad,Comp,Position_Primary,Age_Group,Age,Min,MP,Starts,Gls,Ast,xG,xAG,90s,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shot_Accuracy,Pass_Completion_Rate,Tackles_per_90,Interceptions_per_90,Age_Squared,Age_x_Goals,Minutes_x_Goals_per_90,market_value_in_eur,Log_Market_Value,Value_per_Goal,League_de Bundesliga,League_eng Premier League,League_es La Liga,League_fr Ligue 1,League_it Serie A,Position_DF,Position_FW,Position_GK,Position_MF
Carles Aleñá,Getafe,es La Liga,MF,Prime,26.0,452,10,5,0,0,0.9,0.1,5.022222222222222,0.0,0.0,0.0,0.17884742768823142,0.01987193640980349,0.9935968204901745,0.1996007984031936,0.7948038629176993,1.1923161845882093,0.0,676.0,0.0,0.0,2500000,14.731801689838349,2500000.0,False,False,True,False,False,False,False,False,True
Carles Aleñá,Alavés,es La Liga,MF,Prime,26.0,1090,14,13,0,2,0.7,1.3,12.11111111111111,0.0,0.16500137501145842,0.16500137501145842,0.05775048125401045,0.107250893757448,1.2375103125859384,0.2664890073284477,0.760577106417237,1.5675130626088551,0.16500137501145842,676.0,0.0,0.0,2500000,14.731801689838349,2500000.0,False,False,True,False,False,False,False,False,True
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,Prime,25.0,2365,33,28,3,6,1.9,7.3,26.27777777777778,0.11412147597108921,0.22824295194217842,0.3423644279132676,0.07227693478168984,0.2776955915296504,1.7118221395663382,0.17773828038213732,0.7346487333904952,2.7389154233061412,1.1792552517012553,625.0,75.0,269.89729067162597,75000000,18.132998684833918,18750000.0,False,True,False,False,False,True,False,False,False
Faride Alidou,Hellas Verona,it Serie A,FW,Prime,23.0,71,3,0,0,0,0.0,0.0,0.7888888888888889,0.0,0.0,0.0,0.0,0.0,1.2517385257301807,0.0,0.7996001999000499,0.0,1.2517385257301807,529.0,0.0,0.0,2500000,14.731801689838349,2500000.0,False,False,False,False,True,False,True,False,False
Alisson,Liverpool,eng Premier League,GK,Veteran,31.0,2508,28,28,0,0,0.0,0.6,27.866666666666667,0.0,0.0,0.0,0.0,0.02152337677866794,0.0,0.0,0.8279371435125807,0.03587229463111324,0.0,961.0,0.0,0.0,25000000,17.034386422832473,25000000.0,False,True,False,False,False,False,False,True,False
Tadeo Allende,Celta Vigo,es La Liga,FW,Prime,25.0,2,1,0,0,0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33222591362126247,0.0,0.0,625.0,0.0,0.0,4000000,15.201805169084134,4000000.0,False,False,True,False,False,False,True,False,False
Jim Allevinah,Angers,fr Ligue 1,FW,Prime,29.0,1750,28,23,1,3,4.2,2.5,19.444444444444443,0.05140213604432006,0.1542064081329602,0.20560854417728025,0.21588897138614427,0.12850534011080017,1.7990747615512022,0.2856326763781777,0.7515372352539285,0.9766405848420812,0.6168256325318408,841.0,29.0,89.9537380775601,1800000,14.403297778421795,900000.0,False,False,False,True,False,False,True,False,False
Dele Alli,Como,it Serie A,MF,Prime,28.0,9,1,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950248756218907,0.0,0.0,784.0,0.0,0.0,3500000,15.068273812173887,3500000.0,False,False,False,False,True,False,False,False,True
Thiago Almada,Lyon,fr Ligue 1,MF,Prime,23.0,951,16,9,1,4,2.0,2.6,10.566666666666666,0.09454774661203909,0.37819098644815635,0.4727387330601954,0.18909549322407818,0.24582414119130164,2.174598172076899,0.21729682746631898,0.8489191320971645,1.3236684525685471,0.6618342262842736,529.0,23.0,89.91490702804917,25000000,17.034386422832473,12500000.0,False,False,False,True,False,False,False,False,True
Miguel Almirón,Newcastle Utd,eng Premier League,FW,Veteran,30.0,157,9,1,0,0,0.5,0.3,1.7444444444444445,0.0,0.0,0.0,0.2849905003166561,0.17099430018999365,3.4198860037998733,0.3327787021630616,0.8180578700196939,1.7099430018999366,0.0,900.0,0.0,0.0,20000000,16.811242881518265,20000000.0,False,True,False,False,False,False,True,False,False
